4	 1:1.29555351464296	 2:1.00801223843533	 3:-.843995532216004	 4:-.80470640575722	 5:.593962222236474	 6:1.34132986064074	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:1.05538484433444	 11:-.716259742250555	 12:-.786819328954803	 13:-.105304810091389	 14:-1.03815387897482
17	 1:-.739407829196054	 2:-.107482572974372	 3:-.888609382875071	 4:-1.09746220560674	 5:-.155699918031562	 6:-.153085339338366	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:1.47246368708651	 12:1.39528566966318	 13:-.105304810091389	 14:-.240089206131876
12	 1:-.739407829196054	 2:-.479314176777608	 3:-1.1116786361704	 4:-1.01614115009298	 5:.647509517969905	 6:-.98541785578243	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:1.47246368708651	 12:1.39528566966318	 13:-.105304810091389	 14:1.35604013955401
17	 1:-.554411343392506	 2:-.665229978679225	 3:.940558494146666	 4:1.1957915598812	 5:-.798267466832736	 6:-.796251374772415	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:-.716259742250555	 12:-.69589828734572	 13:-.105304810091389	 14:-1.03815387897482
13	 1:-.739407829196054	 2:-1.40889318628569	 3:1.17849903099502	 4:-1.42274642766177	 5:.344074842147129	 6:.584663936600689	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:1.47246368708651	 12:1.39528566966318	 13:-.105304810091389	 14:2.04009557341939
17	 1:-.184418371785411	 2:-.107482572974372	 3:-.843995532216004	 4:.805450493415171	 5:-.94106025545522	 6:-.98541785578243	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:-.716259742250555	 12:.758838378399608	 13:-.105304810091389	 14:-.240089206131876
2	 1:.370571085625231	 2:1.7516754460418	 3:-1.12036532467582E-02	 4:-.105345328338908	 5:.593962222236474	 6:.584663936600689	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:-.716259742250555	 12:-.69589828734572	 13:-.105304810091389	 14:.557975466711068
7	 1:-.924404314999601	 2:-.665229978679225	 3:-1.92959923158662	 4:-.999876938990238	 5:-.137850819453751	 6:1.66291287835777	 7:4.76086184144955	 8:-2.23648741064378E-02	 9:1.46766906197186	 10:-.436588782574117	 11:.378101972417978	 12:-5.94509960821391E-02	 13:-.105304810091389	 14:.329956988755941
5	 1:-.739407829196054	 2:-.665229978679225	 3:.211865600048575	 4:.772922071209668	 5:1.29007706677108	 6:-.153085339338366	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-.435613884336275	 10:-.436588782574117	 11:1.47246368708651	 12:1.39528566966318	 13:-.105304810091389	 14:.329956988755941
7	 1:1.29555351464296	 2:1.93759124794342	 3:1.13388518033595	 4:-.528214817010446	 5:.344074842147129	 6:1.17108002773173	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:-2.33889683064441	 10:-.436588782574117	 11:-.716259742250555	 12:-.968661412172969	 13:-.105304810091389	 14:-.240089206131876
13	 1:-.554411343392506	 2:-.665229978679225	 3:-.472213443390448	 4:1.55360420414173	 5:1.89694641841663	 6:7.39144378736505E-02	 7:-.210019747116933	 8:-2.23648741064378E-02	 9:1.46766906197186	 10:-.436588782574117	 11:-.716259742250555	 12:-1.05958245378205	 13:-.105304810091389	 14:1.47004937853157
