4	 1:1.29555351464296	 2:1.00801223843533	 3:-.843995532216004	 4:-.80470640575722	 5:4.41052114646198E-03	 6:.664852841331333	 7:.593962222236474	 8:1.34132986064074	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.786819328954803	 15:-.105304810091389	 16:-1.03815387897482
17	 1:-.739407829196054	 2:-.107482572974372	 3:-.888609382875071	 4:-1.09746220560674	 5:-1.59135592380462	 6:-1.52764733962459	 7:-.155699918031562	 8:-.153085339338366	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
12	 1:-.739407829196054	 2:-.479314176777608	 3:-1.1116786361704	 4:-1.01614115009298	 5:.53633266946349	 6:.482144492918339	 7:.647509517969905	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:1.35604013955401
17	 1:-.554411343392506	 2:-.665229978679225	 3:.940558494146666	 4:1.1957915598812	 5:-1.41404854103227	 6:-1.52764733962459	 7:-.798267466832736	 8:-.796251374772415	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
13	 1:-.739407829196054	 2:-1.40889318628569	 3:1.17849903099502	 4:-1.42274642766177	 5:.890947435008175	 6:-6.59805523206427E-02	 7:.344074842147129	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:2.04009557341939
17	 1:-.184418371785411	 2:-.107482572974372	 3:-.843995532216004	 4:.805450493415171	 5:1.4228695833252	 6:.482144492918339	 7:-.94106025545522	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:.758838378399608	 15:-.105304810091389	 16:-.240089206131876
2	 1:.370571085625231	 2:1.7516754460418	 3:-1.12036532467582E-02	 4:-.105345328338908	 5:4.41052114646198E-03	 6:-6.59805523206427E-02	 7:.593962222236474	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:.557975466711068
7	 1:-.924404314999601	 2:-.665229978679225	 3:-1.92959923158662	 4:-.999876938990238	 5:-1.41404854103227	 6:-6.59805523206427E-02	 7:-.137850819453751	 8:1.66291287835777	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
5	 1:-.739407829196054	 2:-.665229978679225	 3:.211865600048575	 4:.772922071209668	 5:-1.41404854103227	 6:-1.52764733962459	 7:1.29007706677108	 8:-.153085339338366	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:.329956988755941
7	 1:1.29555351464296	 2:1.93759124794342	 3:1.13388518033595	 4:-.528214817010446	 5:.890947435008175	 6:-.614105597559625	 7:.344074842147129	 8:1.17108002773173	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.240089206131876
13	 1:-.554411343392506	 2:-.665229978679225	 3:-.472213443390448	 4:1.55360420414173	 5:.713640052235832	 6:-1.52764733962459	 7:1.89694641841663	 8:7.39144378736505E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-1.05958245378205	 15:-.105304810091389	 16:1.47004937853157
